gender,age,S1,S2,S3,S4,S5,S6,EX,NR,OP,AG,CN
2,27,0.536207914352417,0.6840879917144775,0.5346295833587646,0.5349429249763489,0.6173257827758789,0.6017124056816101,2.3,1.9,4.5,3.4,4.2
2,18,0.679389238357544,0.6810912489891052,0.5438474416732788,0.5429316759109497,0.6353639364242554,0.5253326892852783,1.0,2.7,4.0,4.5,1.1
2,31,0.5447678565979004,0.6340615749359131,0.6765457391738892,0.6946671009063721,0.7032239437103271,0.6607142686843872,2.3,1.4,4.4,2.6,3.6
2,18,0.5712631940841675,0.6391795873641968,0.6003121137619019,0.5297011733055115,0.5917551517486572,0.5602587461471558,3.7,1.7,4.8,4.7,3.0
2,20,0.6469441652297974,0.7375626564025879,0.542402982711792,0.5945224761962891,0.5789895057678223,0.5736111402511597,3.4,2.5,3.7,4.3,3.6
1,44,0.6435050368309021,0.684142529964447,0.5062804222106934,0.49693062901496887,0.6916625499725342,0.6293772459030151,2.3,1.8,3.6,4.2,2.9
2,25,0.6162582039833069,0.6044694185256958,0.659796953201294,0.5677204132080078,0.6413639187812805,0.5685787796974182,3.1,2.5,5.0,4.2,3.3
2,34,0.36926937103271484,0.7153056859970093,0.5490125417709351,0.5185203552246094,0.6413639187812805,0.47433361411094666,3.3,2.2,3.6,3.9,2.3
2,23,0.6466944217681885,0.6541911959648132,0.5380314588546753,0.5862510800361633,0.718575656414032,0.6441439390182495,3.7,2.4,4.0,4.3,2.9
2,34,0.6301491260528564,0.5580866932868958,0.5651238560676575,0.58696049451828,0.6234963536262512,0.7007551789283752,3.8,2.9,4.7,4.0,3.7
1,19,0.6782964468002319,0.6701924204826355,0.6309340000152588,0.562919020652771,0.6176311373710632,0.661432147026062,3.9,3.6,3.0,4.6,3.6
1,27,0.6511843800544739,0.6965012550354004,0.6664496660232544,0.6634878516197205,0.7246811985969543,0.7133486866950989,4.0,3.8,4.1,4.2,3.9
2,53,0.5833746790885925,0.634235143661499,0.540280818939209,0.6211400032043457,0.5524107217788696,0.7667418718338013,3.8,3.3,3.8,4.4,4.1
1,39,0.6601855158805847,0.6376571655273438,0.5358200669288635,0.49774155020713806,0.6581513285636902,0.7041451334953308,1.9,4.0,4.9,4.3,3.2
1,19,0.5254035592079163,0.6073268055915833,0.4019392132759094,0.5856608152389526,0.6167653799057007,0.6550220251083374,2.9,2.2,4.9,3.2,2.4
1,40,0.6159476041793823,0.6390554904937744,0.5204904079437256,0.524838924407959,0.7118160724639893,0.6190255880355835,4.1,4.6,4.6,3.7,3.7
2,27,0.6118361353874207,0.6114732027053833,0.5963681936264038,0.652859091758728,0.6492970585823059,0.7414145469665527,4.1,3.9,5.0,3.7,2.3
2,18,0.5542003512382507,0.6877838373184204,0.5955214500427246,0.6025956869125366,0.6861368417739868,0.6843960881233215,2.1,2.6,4.1,4.0,4.7
2,39,0.5656439065933228,0.6804233193397522,0.467102587223053,0.5641002655029297,0.6080124974250793,0.5689232349395752,4.6,1.4,4.0,3.3,2.5
1,22,0.5804899334907532,0.6978096961975098,0.3845529556274414,0.5799591541290283,0.6413639187812805,0.657254159450531,2.8,3.2,3.0,3.0,3.3
2,41,0.6106621026992798,0.6614471077919006,0.6280766725540161,0.5797059535980225,0.6724211573600769,0.5912809371948242,2.3,1.7,4.4,3.7,2.3
2,41,0.6106621026992798,0.6614471077919006,0.6280766725540161,0.5797059535980225,0.6724211573600769,0.5912809371948242,2.3,1.7,4.4,3.7,2.3
2,19,0.6548019051551819,0.6875677704811096,0.6284032464027405,0.6081703901290894,0.5995968580245972,0.6332610249519348,4.4,3.3,4.2,4.1,3.6
1,19,0.6087383031845093,0.6970770359039307,0.47159284353256226,0.4545612037181854,0.6298380494117737,0.603514552116394,3.0,3.2,2.9,3.8,3.5
2,19,0.6146986484527588,0.6337193846702576,0.6100958585739136,0.48033836483955383,0.7246811985969543,0.6990771293640137,1.2,2.2,3.8,2.6,2.6
1,21,0.6008315086364746,0.6813867688179016,0.5459082126617432,0.5443831086158752,0.6649608016014099,0.6192394495010376,2.9,2.5,3.3,3.6,3.5
2,44,0.5264953374862671,0.6893180012702942,0.5055928826332092,0.4843384921550751,0.6413926482200623,0.6510692834854126,2.0,3.8,3.4,2.8,3.6
2,39,0.5443090796470642,0.6346288919448853,0.5326929092407227,0.563584566116333,0.505406379699707,0.6418849229812622,3.2,3.8,4.1,4.9,3.1
2,20,0.5751557350158691,0.5859665870666504,0.5209685564041138,0.503971517086029,0.6178478002548218,0.6242870092391968,2.8,3.7,3.0,3.4,2.0
2,50,0.6115787625312805,0.7246016263961792,0.5423190593719482,0.5552138090133667,0.5524107217788696,0.5685787796974182,3.0,4.8,4.5,4.3,3.9
1,30,0.6581332683563232,0.6071426868438721,0.5347239971160889,0.571465015411377,0.682409405708313,0.5685787796974182,2.7,3.7,3.3,3.6,2.7
2,22,0.5471913814544678,0.7641368508338928,0.5851148366928101,0.5806381106376648,0.7417110204696655,0.6556270122528076,4.2,2.4,4.1,4.7,3.3
1,57,0.6044082641601562,0.6581146717071533,0.5171414613723755,0.5141920447349548,0.6440515518188477,0.6118832230567932,2.6,3.3,4.0,4.0,2.4
2,20,0.6059594750404358,0.6907641887664795,0.6664496660232544,0.5543899536132812,0.6199074983596802,0.6393502354621887,4.6,3.0,5.0,3.5,2.1
1,22,0.6907420754432678,0.7348948121070862,0.6437532901763916,0.6255022287368774,0.6862273812294006,0.6947917938232422,1.5,1.9,4.4,2.8,3.2
1,54,0.6293191909790039,0.7222355604171753,0.5271174907684326,0.5197361707687378,0.7154433727264404,0.5761668682098389,2.4,2.3,4.5,4.3,3.0
2,38,0.6251352429389954,0.6610384583473206,0.5363309979438782,0.5433546304702759,0.642385721206665,0.6691642999649048,3.6,1.8,5.0,5.0,4.8
2,42,0.6276066303253174,0.682323694229126,0.5491167306900024,0.5615803599357605,0.5603581070899963,0.647597074508667,4.6,3.0,4.3,4.5,3.9
2,20,0.638115644454956,0.7009095549583435,0.451297789812088,0.4681953191757202,0.6328279972076416,0.6764296293258667,3.9,3.2,4.0,4.3,3.8
2,24,0.6199489831924438,0.6304564476013184,0.5490882992744446,0.543404221534729,0.5345377326011658,0.5627817511558533,4.2,2.7,4.3,3.5,4.0
1,53,0.6069986820220947,0.6831745505332947,0.693099856376648,0.4409560561180115,0.6755827069282532,0.6454647779464722,4.6,4.8,4.3,5.0,4.2
2,48,0.6029293537139893,0.6600171327590942,0.4978567957878113,0.5518730282783508,0.7008190751075745,0.6729339361190796,3.2,3.0,4.0,3.8,3.1
2,39,0.5354308485984802,0.7336510419845581,0.4652446508407593,0.6067013144493103,0.6287804841995239,0.606557309627533,2.4,1.0,4.4,3.5,3.6
1,52,0.6193042993545532,0.7063699960708618,0.6304422616958618,0.5998974442481995,0.6361804604530334,0.6790931820869446,3.5,3.4,3.6,4.0,3.0
1,24,0.6037460565567017,0.5659800171852112,0.6821390390396118,0.5993547439575195,0.606523871421814,0.6920106410980225,1.6,2.4,4.5,1.9,4.1
2,19,0.6355324983596802,0.669996976852417,0.5680181980133057,0.5675820708274841,0.6344911456108093,0.7044028639793396,2.4,4.4,3.6,4.9,3.1
2,23,0.6776255369186401,0.6385284662246704,0.6507200002670288,0.6863663196563721,0.6173351407051086,0.6928619742393494,3.8,2.5,3.7,3.8,3.4
1,22,0.6188121438026428,0.6135929822921753,0.5536388158798218,0.5430632829666138,0.5261657238006592,0.6540641784667969,3.8,2.6,4.2,3.7,2.7
2,18,0.584110677242279,0.6770393252372742,0.6662551164627075,0.5564858913421631,0.6378185153007507,0.5775677561759949,4.4,4.2,3.6,4.5,3.4
2,29,0.6901965141296387,0.6373773217201233,0.5334511995315552,0.5132560729980469,0.5879445672035217,0.6156795620918274,3.9,3.4,4.5,4.5,2.1
1,19,0.6088698506355286,0.6062153577804565,0.5264941453933716,0.7100478410720825,0.609897792339325,0.6035771369934082,3.5,3.8,4.5,4.5,4.0
2,39,0.6251352429389954,0.6756013035774231,0.6055304408073425,0.6175608038902283,0.6413639187812805,0.5908826589584351,4.4,4.6,3.8,4.2,3.2
1,33,0.713359534740448,0.7675498723983765,0.5570791959762573,0.46440139412879944,0.5827746987342834,0.5672705769538879,3.6,4.2,4.7,4.3,4.4
2,48,0.4624044895172119,0.6832789778709412,0.6169505715370178,0.5711148381233215,0.570947527885437,0.7083626389503479,2.8,3.6,3.3,4.3,3.7
1,21,0.5075967311859131,0.772362232208252,0.3661894202232361,0.5451008081436157,0.5800355672836304,0.6691259741783142,3.3,2.8,2.9,3.6,2.9
2,19,0.6155805587768555,0.7063363790512085,0.62796950340271,0.6299590468406677,0.6649608016014099,0.5908826589584351,4.0,2.4,3.9,4.4,3.0
2,18,0.6047654151916504,0.6030862927436829,0.5413374900817871,0.49667561054229736,0.49170970916748047,0.6947416067123413,3.0,3.0,3.0,3.0,3.0
1,44,0.6087383031845093,0.6948172450065613,0.5673076510429382,0.5239940881729126,0.5767855048179626,0.6861314177513123,2.1,1.0,3.7,2.3,2.4
2,32,0.6064867377281189,0.6920356750488281,0.46825936436653137,0.7051933407783508,0.6108890771865845,0.633536696434021,2.4,3.7,4.9,4.7,2.5
1,20,0.5970936417579651,0.5656892657279968,0.6525107622146606,0.6466652154922485,0.6319675445556641,0.7869204878807068,1.3,2.0,4.9,4.1,1.7
2,23,0.5688980221748352,0.7449279427528381,0.4812040627002716,0.4678722620010376,0.6309953927993774,0.6196545362472534,3.3,1.8,4.2,3.4,3.5
1,52,0.6010903716087341,0.6686932444572449,0.529726505279541,0.5286312103271484,0.6062439680099487,0.6140762567520142,3.4,4.3,3.5,3.7,4.3
