gender,age,S1,S2,S3,S4,S5,S6,EX,NR,OP,AG,CN
1,57,0.6270138025283813,0.3404226303100586,0.33107301592826843,0.3833462595939636,0.3611348271369934,0.4638271629810333,2.6,3.3,4.0,4.0,2.4
2,20,0.29850339889526367,0.683975338935852,0.5101391077041626,0.4775499999523163,0.3823269009590149,0.553869366645813,4.6,3.0,5.0,3.5,2.1
1,22,0.4764769971370697,0.7246105670928955,0.8448925614356995,0.8423007726669312,0.475674033164978,0.5139280557632446,1.5,1.9,4.4,2.8,3.2
1,54,0.7788049578666687,0.7640562653541565,0.4633239507675171,0.4925355911254883,0.7970678806304932,0.455530047416687,2.4,2.3,4.5,4.3,3.0
2,38,0.7012351751327515,0.5249478220939636,0.4060007333755493,0.47255486249923706,0.34042805433273315,0.5269849300384521,3.6,1.8,5.0,5.0,4.8
2,42,0.6704825162887573,0.5476150512695312,0.2687872648239136,0.5425900220870972,0.409580796957016,0.40771305561065674,4.6,3.0,4.3,4.5,3.9
2,20,0.6958645582199097,0.5391861200332642,0.44077450037002563,0.4830668270587921,0.46890586614608765,0.5486690998077393,3.9,3.2,4.0,4.3,3.8
2,24,0.4838249683380127,0.47593170404434204,0.4509370028972626,0.2809729278087616,0.38211214542388916,0.24261343479156494,4.2,2.7,4.3,3.5,4.0
1,53,0.5315157771110535,0.5622179508209229,0.9298558831214905,0.242080420255661,0.6121792197227478,0.19534215331077576,4.6,4.8,4.3,5.0,4.2
2,48,0.7166768312454224,0.5324273705482483,0.2716526985168457,0.4925863742828369,0.6306086778640747,0.6126902103424072,3.2,3.0,4.0,3.8,3.1
2,39,0.16759100556373596,0.7727853059768677,0.3133363127708435,0.46724528074264526,0.521944522857666,0.506507158279419,2.4,1.0,4.4,3.5,3.6
1,52,0.7841654419898987,0.4801923334598541,0.47871166467666626,0.42132872343063354,0.3152114748954773,0.3764042258262634,3.5,3.4,3.6,4.0,3.0
1,24,0.38352668285369873,0.47998443245887756,0.5272669792175293,0.40661346912384033,0.34453344345092773,0.49836623668670654,1.6,2.4,4.5,1.9,4.1
2,19,0.552992045879364,0.5099815726280212,0.540016233921051,0.5006501078605652,0.7627764940261841,0.8267035484313965,2.4,4.4,3.6,4.9,3.1
2,23,0.7179238796234131,0.6122382283210754,0.431648313999176,0.4763716459274292,0.5287886261940002,0.5558733940124512,3.8,2.5,3.7,3.8,3.4
1,22,0.8018438816070557,0.8007014989852905,0.5651422739028931,0.4229162335395813,0.2626677453517914,0.5263296961784363,3.8,2.6,4.2,3.7,2.7
